Model,Metric,Value
SVC,Accuracy,0.6582278481012658
SVC,Accuracy,0.759493670886076
SVC,Accuracy,0.7468354430379747
SVC,Accuracy,0.6666666666666666
SVC,Accuracy,0.6153846153846154
SVC,Precision,0.7407407407407407
SVC,Precision,0.7692307692307693
SVC,Precision,0.7941176470588235
SVC,Precision,0.7333333333333333
SVC,Precision,0.631578947368421
SVC,Recall,0.5
SVC,Recall,0.75
SVC,Recall,0.675
SVC,Recall,0.55
SVC,Recall,0.6
SVC,F1,0.5970149253731343
SVC,F1,0.759493670886076
SVC,F1,0.7297297297297297
SVC,F1,0.6285714285714286
SVC,F1,0.6153846153846154
SVC,ROC_AUC,0.6878205128205128
SVC,ROC_AUC,0.8173076923076924
SVC,ROC_AUC,0.8153846153846154
SVC,ROC_AUC,0.75
SVC,ROC_AUC,0.699342105263158
RFC,Accuracy,0.5949367088607594
RFC,Accuracy,0.7721518987341772
RFC,Accuracy,0.6582278481012658
RFC,Accuracy,0.6666666666666666
RFC,Accuracy,0.6025641025641025
RFC,Precision,0.6428571428571429
RFC,Precision,0.7619047619047619
RFC,Precision,0.6274509803921569
RFC,Precision,0.75
RFC,Precision,0.5957446808510638
RFC,Recall,0.45
RFC,Recall,0.8
RFC,Recall,0.8
RFC,Recall,0.525
RFC,Recall,0.7
RFC,F1,0.5294117647058824
RFC,F1,0.7804878048780488
RFC,F1,0.7032967032967034
RFC,F1,0.6176470588235294
RFC,F1,0.6436781609195402
RFC,ROC_AUC,0.6743589743589744
RFC,ROC_AUC,0.837820512820513
RFC,ROC_AUC,0.7826923076923077
RFC,ROC_AUC,0.7657894736842105
RFC,ROC_AUC,0.6927631578947369
NBC,Accuracy,0.5569620253164557
NBC,Accuracy,0.6708860759493671
NBC,Accuracy,0.6708860759493671
NBC,Accuracy,0.6025641025641025
NBC,Accuracy,0.6538461538461539
NBC,Precision,0.6190476190476191
NBC,Precision,0.7916666666666666
NBC,Precision,0.7058823529411765
NBC,Precision,0.7368421052631579
NBC,Precision,0.696969696969697
NBC,Recall,0.325
NBC,Recall,0.475
NBC,Recall,0.6
NBC,Recall,0.35
NBC,Recall,0.575
NBC,F1,0.4262295081967213
NBC,F1,0.59375
NBC,F1,0.6486486486486487
NBC,F1,0.4745762711864407
NBC,F1,0.6301369863013698
NBC,ROC_AUC,0.6419871794871794
NBC,ROC_AUC,0.7932692307692308
NBC,ROC_AUC,0.7551282051282052
NBC,ROC_AUC,0.7345394736842106
NBC,ROC_AUC,0.6861842105263157
MLPC,Accuracy,0.6075949367088608
MLPC,Accuracy,0.759493670886076
MLPC,Accuracy,0.6075949367088608
MLPC,Accuracy,0.6025641025641025
MLPC,Accuracy,0.6025641025641025
MLPC,Precision,0.6956521739130435
MLPC,Precision,0.7692307692307693
MLPC,Precision,0.68
MLPC,Precision,0.8
MLPC,Precision,0.5918367346938775
MLPC,Recall,0.4
MLPC,Recall,0.75
MLPC,Recall,0.425
MLPC,Recall,0.3
MLPC,Recall,0.725
MLPC,F1,0.5079365079365079
MLPC,F1,0.759493670886076
MLPC,F1,0.5230769230769231
MLPC,F1,0.43636363636363634
MLPC,F1,0.651685393258427
MLPC,ROC_AUC,0.6391025641025642
MLPC,ROC_AUC,0.819871794871795
MLPC,ROC_AUC,0.6865384615384615
MLPC,ROC_AUC,0.756578947368421
MLPC,ROC_AUC,0.6861842105263157
