Model,Metric,Value
SVC,Accuracy,0.7468354430379747
SVC,Accuracy,0.7974683544303798
SVC,Accuracy,0.8227848101265823
SVC,Accuracy,0.782051282051282
SVC,Accuracy,0.8076923076923077
SVC,Precision,0.8333333333333334
SVC,Precision,0.8529411764705882
SVC,Precision,0.8823529411764706
SVC,Precision,0.8285714285714286
SVC,Precision,0.8048780487804879
SVC,Recall,0.625
SVC,Recall,0.725
SVC,Recall,0.75
SVC,Recall,0.725
SVC,Recall,0.825
SVC,F1,0.7142857142857143
SVC,F1,0.7837837837837838
SVC,F1,0.8108108108108109
SVC,F1,0.7733333333333333
SVC,F1,0.8148148148148148
SVC,ROC_AUC,0.8096153846153846
SVC,ROC_AUC,0.8589743589743589
SVC,ROC_AUC,0.9166666666666666
SVC,ROC_AUC,0.8519736842105263
SVC,ROC_AUC,0.8973684210526316
RFC,Accuracy,0.7721518987341772
RFC,Accuracy,0.7974683544303798
RFC,Accuracy,0.8354430379746836
RFC,Accuracy,0.8333333333333334
RFC,Accuracy,0.8461538461538461
RFC,Precision,0.8666666666666667
RFC,Precision,0.8333333333333334
RFC,Precision,0.8461538461538461
RFC,Precision,0.8461538461538461
RFC,Precision,0.868421052631579
RFC,Recall,0.65
RFC,Recall,0.75
RFC,Recall,0.825
RFC,Recall,0.825
RFC,Recall,0.825
RFC,F1,0.7428571428571429
RFC,F1,0.7894736842105263
RFC,F1,0.8354430379746836
RFC,F1,0.8354430379746836
RFC,F1,0.8461538461538461
RFC,ROC_AUC,0.8458333333333333
RFC,ROC_AUC,0.8320512820512821
RFC,ROC_AUC,0.9121794871794872
RFC,ROC_AUC,0.8796052631578948
RFC,ROC_AUC,0.9009868421052631
NBC,Accuracy,0.6835443037974683
NBC,Accuracy,0.7215189873417721
NBC,Accuracy,0.7721518987341772
NBC,Accuracy,0.717948717948718
NBC,Accuracy,0.7435897435897436
NBC,Precision,0.8571428571428571
NBC,Precision,0.8214285714285714
NBC,Precision,0.8666666666666667
NBC,Precision,0.875
NBC,Precision,0.8333333333333334
NBC,Recall,0.45
NBC,Recall,0.575
NBC,Recall,0.65
NBC,Recall,0.525
NBC,Recall,0.625
NBC,F1,0.5901639344262295
NBC,F1,0.6764705882352942
NBC,F1,0.7428571428571429
NBC,F1,0.65625
NBC,F1,0.7142857142857143
NBC,ROC_AUC,0.8288461538461538
NBC,ROC_AUC,0.8057692307692308
NBC,ROC_AUC,0.8967948717948717
NBC,ROC_AUC,0.8348684210526316
NBC,ROC_AUC,0.8513157894736841
MLPC,Accuracy,0.7215189873417721
MLPC,Accuracy,0.759493670886076
MLPC,Accuracy,0.7974683544303798
MLPC,Accuracy,0.7564102564102564
MLPC,Accuracy,0.7435897435897436
MLPC,Precision,0.8
MLPC,Precision,0.8
MLPC,Precision,0.7857142857142857
MLPC,Precision,0.7837837837837838
MLPC,Precision,0.7272727272727273
MLPC,Recall,0.6
MLPC,Recall,0.7
MLPC,Recall,0.825
MLPC,Recall,0.725
MLPC,Recall,0.8
MLPC,F1,0.6857142857142857
MLPC,F1,0.7466666666666667
MLPC,F1,0.8048780487804879
MLPC,F1,0.7532467532467533
MLPC,F1,0.7619047619047619
MLPC,ROC_AUC,0.7814102564102564
MLPC,ROC_AUC,0.8602564102564102
MLPC,ROC_AUC,0.8679487179487179
MLPC,ROC_AUC,0.8421052631578948
MLPC,ROC_AUC,0.8677631578947368
